Municipality;Time;Parcel_og_raekkehus_dkk_pr_m2;Ejerlejlighed_dkk_pr_m2
Bornholm;2000K3;4083;NA
Bornholm;2000K4;4264;3906
Bornholm;2001K1;4165;2910
Bornholm;2001K2;4478;3705
Bornholm;2001K3;4349;NA
Bornholm;2001K4;4218;3143
Bornholm;2002K1;4554;3574
Bornholm;2002K2;4647;3862
Bornholm;2002K3;4502;5629
Bornholm;2002K4;4548;3801
Bornholm;2003K1;4728;4312
Bornholm;2003K2;5002;4517
Bornholm;2003K3;4764;5605
Bornholm;2003K4;5089;2733
Bornholm;2004K1;5186;8663
Bornholm;2004K2;5128;10107
Bornholm;2004K3;5256;9779
Bornholm;2004K4;5553;9780
Bornholm;2005K1;5119;8537
Bornholm;2005K2;5821;12466
Bornholm;2005K3;5538;13227
Bornholm;2005K4;5802;12143
Bornholm;2006K1;6230;9377
Bornholm;2006K2;6907;15454
Bornholm;2006K3;7304;15007
Bornholm;2006K4;6976;14975
Bornholm;2007K1;7227;13567
Bornholm;2007K2;8047;18158
Bornholm;2007K3;8072;17827
Bornholm;2007K4;7828;16490
Bornholm;2008K1;7655;12348
Bornholm;2008K2;8137;16405
Bornholm;2008K3;7934;15625
Bornholm;2008K4;7512;NA
Bornholm;2009K1;7227;NA
Bornholm;2009K2;7312;12639
Bornholm;2009K3;7105;13878
Bornholm;2009K4;7249;13407
Bornholm;2010K1;7294;11967
Bornholm;2010K2;7432;10046
Bornholm;2010K3;6578;13155
Bornholm;2010K4;7614;9722
Bornholm;2011K1;6537;15185
Bornholm;2011K2;6604;12099
Bornholm;2011K3;6437;9527
Bornholm;2011K4;5848;8615
Bornholm;2012K1;5608;10229
Bornholm;2012K2;5411;10337
Bornholm;2012K3;5264;9305
Bornholm;2012K4;5745;10018
Bornholm;2013K1;5511;8963
Bornholm;2013K2;5473;10288
Bornholm;2013K3;5043;12721
Bornholm;2013K4;5045;9475
Bornholm;2014K1;5425;11433
Bornholm;2014K2;5437;11407
Bornholm;2014K3;5426;8516
Bornholm;2014K4;5070;10320
Bornholm;2015K1;4992;11827
Bornholm;2015K2;6012;9252
Bornholm;2015K3;5439;8080
Bornholm;2015K4;5550;11742
Bornholm;2016K1;5872;10587
Bornholm;2016K2;5974;11595
Bornholm;2016K3;5975;10551
Bornholm;2016K4;6508;9448
Bornholm;2017K1;6238;12860
Bornholm;2017K2;6284;13032
Bornholm;2017K3;6799;10867
Bornholm;2017K4;6701;11837
Bornholm;2018K1;7001;13165
Bornholm;2018K2;7212;12371
Bornholm;2018K3;7304;11701
Bornholm;2018K4;6831;12337
Bornholm;2019K1;6870;12163
Bornholm;2019K2;7580;12678
Bornholm;2019K3;7517;14250
Bornholm;2019K4;6913;14063
Bornholm;2020K1;7298;12867
Bornholm;2020K2;7444;15138
Bornholm;2020K3;7924;14695
Bornholm;2020K4;8396;15705
Bornholm;2021K1;9165;16757
Bornholm;2021K2;10122;18311
Bornholm;2021K3;9797;22447
Bornholm;2021K4;10176;19765
Bornholm;2022K1;10145;17589
Bornholm;2022K2;9633;24405
Bornholm;2022K3;10159;19518
Bornholm;2022K4;9593;19955
Bornholm;2023K1;9690;22671
Bornholm;2023K2;9137;19779
Bornholm;2023K3;9537;19823
Bornholm;2023K4;9943;22793
Bornholm;2024K1;9466;14668
Bornholm;2024K2;9993;22962
Bornholm;2024K3;10389;22581
Bornholm;2024K4;9947;21015
Odense;1992K1;4331;5406
Odense;1992K2;4448;5874
Odense;1992K3;4388;5364
Odense;1992K4;4324;5814
Odense;1993K1;4199;4928
Odense;1993K2;4288;5046
Odense;1993K3;4549;5226
Odense;1993K4;4541;5490
Odense;1994K1;4822;5491
Odense;1994K2;4818;5471
Odense;1994K3;4768;5623
Odense;1994K4;4886;5871
Odense;1995K1;5006;5643
Odense;1995K2;5038;5679
Odense;1995K3;5330;5943
Odense;1995K4;5259;5994
Odense;1996K1;5458;6161
Odense;1996K2;5701;6363
Odense;1996K3;5857;6294
Odense;1996K4;5964;6475
Odense;1997K1;6227;6459
Odense;1997K2;6285;6889
Odense;1997K3;6511;7281
Odense;1997K4;6713;7217
Odense;1998K1;6852;7701
Odense;1998K2;7139;8216
Odense;1998K3;7446;8229
Odense;1998K4;7401;8430
Odense;1999K1;7204;9703
Odense;1999K2;7367;8463
Odense;1999K3;7477;8629
Odense;1999K4;7512;8259
Odense;2000K1;7161;8582
Odense;2000K2;7434;9131
Odense;2000K3;7418;8873
Odense;2000K4;7577;8531
Odense;2001K1;7719;8872
Odense;2001K2;7704;9252
Odense;2001K3;7556;9507
Odense;2001K4;7586;9513
Odense;2002K1;7741;9102
Odense;2002K2;7844;9530
Odense;2002K3;7649;9481
Odense;2002K4;7793;9267
Odense;2003K1;7610;9687
Odense;2003K2;7662;9477
Odense;2003K3;7929;10399
Odense;2003K4;7954;9816
Odense;2004K1;8237;10032
Odense;2004K2;8731;10329
Odense;2004K3;8858;10867
Odense;2004K4;9094;10819
Odense;2005K1;9576;11033
Odense;2005K2;10011;12112
Odense;2005K3;10822;13138
Odense;2005K4;11553;13679
Odense;2006K1;12581;15364
Odense;2006K2;13018;15951
Odense;2006K3;13144;16368
Odense;2006K4;13960;16199
Odense;2007K1;14144;16733
Odense;2007K2;14431;16974
Odense;2007K3;14056;16618
Odense;2007K4;14348;15933
Odense;2008K1;14198;15702
Odense;2008K2;14608;15873
Odense;2008K3;14124;15157
Odense;2008K4;13298;14583
Odense;2009K1;12508;14924
Odense;2009K2;12907;13907
Odense;2009K3;12617;14272
Odense;2009K4;12730;14629
Odense;2010K1;12815;13597
Odense;2010K2;13075;15415
Odense;2010K3;12844;14384
Odense;2010K4;13182;14731
Odense;2011K1;12904;13502
Odense;2011K2;12640;14313
Odense;2011K3;12272;13067
Odense;2011K4;12030;13176
Odense;2012K1;11734;14028
Odense;2012K2;12351;12797
Odense;2012K3;12290;13843
Odense;2012K4;12004;14034
Odense;2013K1;12202;13959
Odense;2013K2;12343;14240
Odense;2013K3;12595;13692
Odense;2013K4;12330;14872
Odense;2014K1;12388;14861
Odense;2014K2;12771;15260
Odense;2014K3;12702;15129
Odense;2014K4;12726;15358
Odense;2015K1;13042;16084
Odense;2015K2;13329;16646
Odense;2015K3;13641;16287
Odense;2015K4;13242;16379
Odense;2016K1;13795;16276
Odense;2016K2;13451;17979
